Transaction ID,CustomerID,ProductID,ProductName,Quantity,PriceperUnit,Date,TotalPrice,Region
1,373,109,Cereal,7,5,8/8/2022,35,Colombo
2,519,100,Apple,6,1,12/31/2022,6,Colombo
3,885,100,Apple,8,1,1/9/2023,8,Colombo
4,716,104,Beef,10,10,10/21/2022,100,Colombo
5,557,102,Cheese,8,2.5,5/16/2022,20,Colombo
6,357,108,Yogurt,7,4,1/17/2023,28,Colombo
7,498,103,Bread,5,3,9/10/2022,15,Colombo
8,531,103,Bread,7,3,2/12/2023,21,Colombo
9,274,109,Cereal,3,5,3/21/2023,15,Colombo
10,897,105,Chicken,8,8,7/20/2022,64,Colombo
11,986,102,Cheese,5,2.5,8/10/2022,12.5,Colombo
12,984,101,Banana,10,1.5,11/17/2022,15,Colombo
13,608,101,Banana,6,1.5,2/8/2023,9,Colombo
14,508,109,Cereal,3,5,10/13/2022,15,Colombo
15,864,103,Bread,4,3,11/8/2022,12,Colombo
16,921,101,Banana,7,1.5,6/26/2022,10.5,Colombo
17,561,106,Fish,8,12,8/19/2022,96,Colombo
18,913,102,Cheese,8,2.5,6/30/2022,20,Colombo
19,278,104,Beef,4,10,9/20/2022,40,Colombo
20,846,107,Milk,2,2,2/21/2023,4,Colombo
21,439,100,Apple,2,1,10/26/2022,2,Colombo
22,106,106,Fish,5,12,6/27/2022,60,Colombo
23,774,100,Apple,1,1,9/24/2022,1,Colombo
24,558,108,Yogurt,8,4,2/20/2023,32,Colombo
25,685,108,Yogurt,1,4,1/10/2023,4,Colombo
26,517,105,Chicken,2,8,7/11/2022,16,Colombo
27,923,106,Fish,10,12,1/19/2023,120,Colombo
28,665,109,Cereal,5,5,11/13/2022,25,Colombo
29,649,104,Beef,1,10,5/9/2022,10,Colombo
30,735,108,Yogurt,5,4,11/6/2022,20,Colombo
31,653,102,Cheese,1,2.5,8/20/2022,2.5,Colombo
32,294,107,Milk,5,2,2/7/2023,10,Colombo
33,606,106,Fish,6,12,3/15/2023,72,Colombo
34,492,109,Cereal,3,5,7/21/2022,15,Colombo
35,727,108,Yogurt,10,4,1/28/2023,40,Colombo
36,778,103,Bread,1,3,1/29/2023,3,Colombo
37,283,108,Yogurt,9,4,2/16/2023,36,Colombo
38,704,108,Yogurt,1,4,1/5/2023,4,Colombo
39,593,107,Milk,3,2,7/14/2022,6,Colombo
40,193,101,Banana,4,1.5,6/19/2022,6,Colombo
41,449,101,Banana,4,1.5,11/27/2022,6,Colombo
42,423,100,Apple,6,1,5/31/2022,6,Colombo
43,621,108,Yogurt,9,4,4/30/2022,36,Colombo
44,662,109,Cereal,6,5,8/17/2022,30,Colombo
45,545,104,Beef,2,10,9/20/2022,20,Colombo
46,962,106,Fish,8,12,3/10/2023,96,Colombo
47,676,108,Yogurt,6,4,12/26/2022,24,Colombo
48,244,101,Banana,3,1.5,2/6/2023,4.5,Colombo
49,111,108,Yogurt,6,4,10/22/2022,24,Colombo
50,793,104,Beef,6,10,1/22/2023,60,Colombo
51,162,105,Chicken,10,8,2/15/2023,80,Colombo
52,730,108,Yogurt,10,4,3/26/2023,40,Colombo
53,983,100,Apple,6,1,3/2/2023,6,Colombo
54,443,101,Banana,7,1.5,7/9/2022,10.5,Colombo
